"id","composition","proportion","name","location","mass","year"
"832","None Detected "," ---","Spider","Memphis, TN","230",2002
"831","MDMA "," 1","Plain Tablet","Santa Monica, CA","152",2002
"830","DXM "," 1","Nike","Killeen, TX","339",2002
"829","MDMA "," 1","Plain Tablet","San Francisco, CA","330",2002
"828","MDMA "," 1","Plain Tablet","San Diego, CA","156",2002
"827","None Detected "," ---","Cookies & Cream","Houston, TX","672",2002
"826","MDMA "," 1","Tweety","Miami, FL","255",2002
"825","MDMA "," 1","Euro","New York, NY","243",2002
"824","None Detected "," ---","R","Austin, TX","129",2002
"823","MDMA "," 1","Plain Tablet","San Francisco, CA","95",2002
"822","None Detected "," ---","Spider","Seattle, WA","237",2002
"821","MDMA "," 1","X","San Pedro, CA","272",2002
"820","Unidentified "," 1","Pitchfork","Ann Arbor, MI","245",2002
"819","MDMA "," 1","Toyota","New York, NY","211",2002
"818","MDMA "," 1","Alien","New York, NY","213",2002
"817","Methamphetamine "," 1","Plain Tablet","Fort Worth, TX","686",2002
"816","MDMA "," 1","Plain Tablet","Seattle, WA","158",2002
"815","MDMA "," 1","Motorola","Los Angeles, CA","212",2002
"814","MDMA "," 1","Smiley","San Francisco, CA","194",2002
"813","MDMA "," 1","Plain Tablet","Unknown, Unknown","119",2002
"812","DXM "," 5","Moon","Minneapolis, MN","227",2002
"812","Diphenhydramine "," 1","Moon","Minneapolis, MN","227",2002
"811","5-MeO-DiPT "," 1","Spider","Sacramento, CA","229",2002
"810","Caffeine "," 1","Yin Yang","Chicago, IL","228",2002
"810","MDMA "," 1","Yin Yang","Chicago, IL","228",2002
"809","Amitriptyline "," 1","MP 25","New York, NY","103",2002
"808","Acetaminophen "," ---","376","New York, NY","679",2002
"808","Caffeine "," ---","376","New York, NY","679",2002
"808","Methyl Salicylate "," ---","376","New York, NY","679",2002
"807","MDMA "," 1","Plain Tablet","Boise, ID","151",2002
"806","Caffeine "," 1","Carrot","Oakland, CA","324",2002
"804","MDMA "," 1","VW","San Francisco, CA","144",2002
"805","MDMA "," 1","@ (At)","Baton Rouge, FL","213",2002
"803","MDMA "," 1","Ferrari","St. Louis, MO","272",2002
"802","MDA "," 1","Plain Tablet","Seattle, WA","132",2002
"801","MDMA "," 1","VW","Seattle, WA","184",2002
"800","Codeine "," 1","C","Berkeley, CA","246",2002
"799","Caffeine "," 4","RN (blue)","Los Angeles, CA","223",2002
"799","MDMA "," 1","RN (blue)","Los Angeles, CA","223",2002
"798","MDMA "," 1 trace","N","Shreveport, LA","307",2002
"798","MDA "," 2 trace","N","Shreveport, LA","307",2002
"797","MDA "," 1","Omega","Chicago, IL","230",2002
"796","MDMA "," trace","Fish (green)","Portland, OR","307",2002
"795","None Detected "," 1","NR","San Francisco, CA","377",2002
"794","MDMA "," 1","Plain Tablet","Anchorage, AK","416",2002
"793","MDMA "," 2","Shark","Anchorage, AK","426",2002
"793","Caffeine "," 1","Shark","Anchorage, AK","426",2002
"792","MDMA "," 1","Yin Yang","Anchorage, AK","330",2002
"791","MDMA "," 1","@ (At)","Anchorage, AK","237",2002
"790","MDMA "," 1","Dolphin (white)","Anchorage, AK","140",2002
"789","MDMA "," 1","Alien","Long Island, NY","223",2002
"788","MDMA "," 1","Ferrari","Minneapolis, MN","159",2002
"787","MDMA "," 1","Rolex","Minneapolis, MN","244",2002
"786","Ketamine "," 4","Unknown","Oakland, CA","344",2002
"786","Caffeine "," 1","Unknown","Oakland, CA","344",2002
"785","5-MeO-DiPT "," 1","Alien","Oakland, CA","256",2002
"784","None Detected "," 1","Plain Tablet","Tampa, FL","523",2002
"783","Caffeine "," 1","Scored Tablet","Austin, TX","380",2002
"782","Caffeine "," 1","Adidas","New York, NY","165",2002
"782","MDMA "," 1","Adidas","New York, NY","165",2002
"781","MDMA "," 1","The Great Eight","Long Island, NY","178",2002
"780","MDMA "," 1","Smiley Face","Springfield, MA","145",2002
"779","Methandrostenolone "," 1","Pentagon (Pink)","Denver, CO","122",2002
"778","MDMA "," 1","Smiley Face (Pink)","Tampa, FL","145",2002
"1671","5-MeO-DiPT  ","","Spider","Salem, OR","-",2003
"1670","MDMA "," 2","Star","Scottsdale, AZ","-",2003
"1670","Ketamine "," 1","Star","Scottsdale, AZ","-",2003
"1670","Methamphetamine "," 1","Star","Scottsdale, AZ","-",2003
"1670","Caffeine  ","","Star","Scottsdale, AZ","-",2003
"1669","MDA "," 3","Yin Yang","Orange County, FL","360",2003
"1669","Methamphetamine "," 1","Yin Yang","Orange County, FL","360",2003
"1668","PCP  ","","Cross","Orange County, FL","270",2003
"1667","PCP  ","","Cross","Orange County, FL","270",2003
"1672","Methamphetamine "," 28 mg","Kangaroo","Philadelphia, PA","-",2003
"1672","MDMA "," 21 mg","Kangaroo","Philadelphia, PA","-",2003
"1673","Methamphetamine  ","","Ferrari","Mayfield Heights, OH","-",2003
"1238","MDA "," ---","Yin-Yang","Miami, FL","354",2003
"1238","Methamphetamine "," ---","Yin-Yang","Miami, FL","354",2003
"1237","MDMA "," 1","Mitsubishi","Irvine, CA","333",2003
"1236","MDMA "," 1","Music Notes","Irvine, CA","236",2003
"1235","MDMA "," 1","Heart","San Francisco, CA","184",2003
"1234","MDMA "," 1","Heart","Jupiter, FL","134",2003
"1233","MDMA "," 1","Heart","Jupiter, FL","155",2003
"1232","MDMA "," 1","Flag","Miami, FL","315",2003
"1231","Methamphetamine "," 1","Musical Note","Chicago, IL","220",2003
"1230","MDMA "," 1","Dolphin","Larkspur, CA","288",2003
"1229","MDMA "," 10","Dolphin","Charlotte, NC","278",2003
"1229","Acetaminophen "," 5","Dolphin","Charlotte, NC","278",2003
"1229","Methamphetamine "," 1","Dolphin","Charlotte, NC","278",2003
"1228","MDMA "," 1","Star Trek","Boston, MA","199",2003
"1228","Methamphetamine "," 1","Star Trek","Boston, MA","199",2003
"1227","BZP "," 1","Smiley","Orlando, FL","225",2003
"1227","TFMPP "," 1","Smiley","Orlando, FL","225",2003
"1226","MDMA "," 1","Love","Miami, FL","295",2003
"1225","MDMA "," 1","Unknown","Atlanta, GA","196",2003
"1224","MDMA "," 1","Man","Detroit, MI","236",2003
"1223","MDMA "," 1","Diamond","Pembroke Pines, FL","310",2003
"1222","MDA "," 1","Flower","Pembroke Pines, FL","312",2003
"1221","MDMA "," 1","Heart","Pembroke Pines, FL","166",2003
"1220","Lidocaine "," 1","RN","New York, NY","351",2003
"1219","Caffeine "," 4","Butterfly 2","Washington D.C.","191",2003
"1219","Methamphetamine "," 1","Butterfly 2","Washington D.C.","191",2003
"1218","Caffeine "," 4","Butterfly 1","Washington D.C.","227",2003
"1218","Methamphetamine "," 1","Butterfly 1","Washington D.C.","227",2003
"1217","MDMA "," 1","Smiley","Atlanta, GA","138",2003
"1216","BZP "," 1","Plain Tablet","Orlando, FL","240",2003
"1216","TFMPP "," 1","Plain Tablet","Orlando, FL","240",2003
"1215","MDMA "," 1","Plain Tablet","Burbank, CA","100",2003
"1214","MDMA "," 1","Star","Los Angeles, CA","258",2003
